gene,mean_tpm,std_tpm,cv
AC079296.2,1.440467,10.11162743139423,7.019686970540963
HSPE1P26,1.362843,9.549979399578554,7.007395128843567
MIR604,1.0995190000000001,7.6985433130408945,7.0017374079401025
FRG1FP,2.819857000000001,19.617610335744303,6.9569521914566215
IGKV5-2,32.465335999999986,225.31122100177348,6.940055109910878
AL590762.1,1.0078,6.965240284208987,6.911331895424674
MMP20,1.1876240000000005,8.19575446228624,6.90096736196493
FGB,30.967544000000007,213.49249569271967,6.894072571357923
MUC6,67.08714299999998,462.01474026191954,6.886785151395099
GABRA5,1.310485,9.013698668478792,6.878139519703615
AP000851.1,12.751648,87.62858589884932,6.871942034382483
PCDH11X,1.4607210000000002,10.03674484375514,6.871089580936495
GPM6A,2.608672,17.896664273009765,6.86045017273531
DDC,1.9011529999999999,13.025807204483517,6.85153020534566
ZFP42,1.3299300000000007,9.1021580862325,6.844088099548468
AC016717.2,1.425638,9.7567136967816,6.843752549231713
CR936218.2,1.118222,7.651686234288228,6.842725535974276
LBP,29.839729999999996,203.6365386657383,6.8243425347929865
LINC02515,2.132631,14.506232763652722,6.80203596574031
UGT3A2,4.5764510000000005,31.116489454126835,6.799262016380561
RNVU1-29,1.331259,9.050435640255282,6.798403346197308
RNU6-444P,1.113524,7.557225261934448,6.78676459774055
RNU4ATAC12P,1.6498999999999997,11.179424801216769,6.7758196261693255
FKBP1AP1,1.9499760000000002,13.21158430395955,6.775254825679674
ORM1,11.647007000000004,78.78621364756813,6.764502987554494
LINC00958,1.503717,10.162713549445932,6.758395063330356
IGLV3-27,47.953284999999994,323.93922972545903,6.75530841579381
GDF9,21.565476999999998,145.63798224085446,6.753292878282009
DCD,217.52879500000003,1468.7271542165483,6.751874639017553
SMR3B,19.786664000000005,133.51433217469142,6.747692899353392
AC126389.1,1.2633749999999997,8.523074652648608,6.746274584069346
RNU6-126P,2.025156,13.651806813687573,6.741113678989457
IGHV3-38,4.033915000000001,27.15033180355828,6.730516583407997
EPO,1.6301050000000001,10.97029171277173,6.729806799421956
MAGEA10,1.6746980000000002,11.251162637916337,6.718323326305003
PCSK1,8.59543,57.64316307985368,6.706257055185567
HNRNPA1P14,1.8727019999999999,12.51127754291925,6.6808694297967595
IGFBP1,1.146695,7.635723251547109,6.658896438501179
AC006238.2,1.001714,6.635218654843244,6.623865349633971
CYP2A7,77.46113899999999,512.0801612265072,6.610800820092606
C8orf87,1.3870539999999998,9.145422396057333,6.593414817344771
NPY6R,1.7877160000000003,11.773680946073892,6.585878823075864
ABCC2,4.217842,27.724272888342973,6.573094224094447
RNU6-942P,1.0483749999999998,6.8807069204498355,6.563211561177858
C6orf15,6.633943000000001,43.500066704391564,6.557196331712762
SNORA22,4.9943409999999995,32.715058753548035,6.550425522315765
AC032044.2,2.1972380000000005,14.39247420698552,6.550257280724945
AC026355.2,10.893033,71.23665991901208,6.539653365505464
KRT83,2.518354,16.29083651607302,6.468842949034577
AL031666.1,2.3719840000000003,15.25694352666028,6.432144368031267
AL365436.3,2.1593869999999997,13.871693452871401,6.423903382242925
SULT1C2P1,1.4435650000000004,9.266569623945491,6.419225752872568
DEFB1,66.153983,424.01835622642903,6.4095665445635985
MIR544B,1.163952,7.427879744672036,6.381603145724252
P2RY4,1.33115,8.47622464401803,6.367595420514615
H1-4,6.113577,38.8897822263886,6.361215737756897
SMR3A,2.174615,13.82951293880302,6.359522462046394
RPL10P12,1.400947,8.907906513668268,6.358489303070186
RNA5SP123,2.099061,13.343224388754976,6.356758754869428
MTCO1P53,1.8955690000000005,12.02170793379181,6.342004925060394
GCM1,1.499087,9.497411478984285,6.335463838312442
AC021134.1,3.2970409999999997,20.866509288253916,6.328859510164999
AP005131.3,3.119224,19.74041322527648,6.328629564685473
AC120498.3,1.0505650000000002,6.641657362472096,6.32198613362533
RN7SL674P,3.6110810000000004,22.76276477628639,6.303587423346745
AC053527.1,2.887903,18.164292452604048,6.289786205632269
SLC30A8,43.87099799999999,275.110326839662,6.270892830832388
DPYSL5,1.4277000000000004,8.951601129948596,6.2699454576932085
NPY2R,1.058717,6.631952877402848,6.264141293096124
CYP2A13,1.6727960000000002,10.451565289679257,6.2479616699700715
SCARNA6,6.1348840000000004,38.307974001654785,6.2442866078078705
AC064799.1,8.004529,49.9515019895031,6.2404048994641785
AC133473.1,1.4921270000000004,9.255848049876088,6.203123494096739
DUTP2,1.021245,6.310006520965031,6.178739206522462
KLHL1,2.802591,17.229770624308433,6.147800597485838
PSMD10P1,3.0930009999999997,18.976251939665953,6.135223344468998
NCAN,5.177939,31.697902078745155,6.121721804514335
UGT2B4,7.067683999999999,43.244600227990674,6.118638047200565
NFYCP2,1.6966429999999997,10.375948840051432,6.115575781146319
AL133342.1,7.056113999999999,43.13501798475404,6.113140743581247
AC105914.2,4.7010700000000005,28.702894228073582,6.10560877163573
MIR1972-1,2.9404500000000002,17.916655874192664,6.093168009723907
RHOT1P2,2.333014,14.184667124017961,6.079975141177019
ORM2,8.321665999999999,50.5931142667271,6.079685758443935
SLC4A10,2.244057,13.633507588152547,6.075383819641188
MSMB,165.0140430000001,1002.5011097134168,6.075247242523572
AL031668.2,4.426328999999999,26.87366979024281,6.071322260555602
RPL29P14,2.916654,17.677673641547255,6.060942998911512
HDC,12.098390000000004,73.2119139175421,6.051376581308925
S100A7,394.631073,2384.985222193878,6.043581930999838
AC018558.7,4.184778999999999,25.157230580954096,6.011603141039013
ENPP3,4.4243689999999996,26.530220769863867,5.996385195236624
AC142381.1,3.082088,18.458209060930752,5.988865035953143
GPR26,2.696086,16.093463680989156,5.969195226335197
VIT,6.612448999999999,39.369285315327936,5.953813075205259
KRT13,5.295083999999999,31.502216802197758,5.949332777760988
ALOX15B,83.55235499999999,496.3835483711119,5.940988119019648
CSN2,2.3702590000000003,14.047921980460671,5.926745549942293
AL589644.1,1.3699880000000002,8.119391671013863,5.926615175471509
CHGA,2.6047150000000006,15.424932250725437,5.921927063316114
