gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
TAF11,0.22524377488361402,5.3202349304704555,5.0949911555868415,3.2460339205626902,0.00145300376529865,98,50,0.002555514734296877,0.22524377488361402,NS
ALG1L12P,-0.2252285377264469,0.810938912566803,1.0361674502932499,-2.239890353271531,0.027197992208995905,98,50,0.0392722765137214,0.2252285377264469,NS
AMACR,0.2252260910559707,1.0601983842063973,0.8349722931504266,4.007845626796848,9.840883975229623e-05,98,50,0.00020170760982330034,0.2252260910559707,NS
APOA2,0.2252239130199326,0.38756077197061245,0.16233685895067984,2.250748518960964,0.026180354045085567,98,50,0.03790829189120345,0.2252239130199326,NS
AC005154.1,0.22519381872886268,1.032218396309134,0.8070245775802714,1.8192040578034405,0.07118399087205021,98,50,0.09532750559326346,0.22519381872886268,NS
LY9,0.22518990335816236,1.4687344105286482,1.2435445071704858,2.387979032759296,0.01837655536389671,98,50,0.027285478426375836,0.22518990335816236,NS
CHD8,0.22506227722659888,3.950569837716934,3.725507560490335,2.2426182189995494,0.026665588032888248,98,50,0.038557130955579715,0.22506227722659888,NS
LINC01558,-0.22503604608019667,0.8691531154906623,1.094189161570859,-2.6128216632856334,0.01013228170809879,98,50,0.01569521222429058,0.22503604608019667,NS
IFT22,0.22501821536644862,3.461406031045322,3.2363878156788735,2.4303731557758015,0.016799868407053695,98,50,0.02511832401266819,0.22501821536644862,NS
AP000254.2,-0.22492238003636356,3.0110667934450737,3.235989173481437,-2.340592271684386,0.0206465721239976,98,50,0.03038842730372791,0.22492238003636356,NS
AC016394.2,0.22485864347276419,2.225180123528764,2.000321480056,2.0532891578588033,0.04200372009446044,98,50,0.058658932436558925,0.22485864347276419,NS
PPP1R21,-0.22479620500509334,4.604517551577355,4.829313756582448,-3.5014715044844857,0.0006179943746230648,98,50,0.001148011393589405,0.22479620500509334,NS
SCLT1,0.2247728108030289,2.0527113298047506,1.8279385190017217,3.3285777191057755,0.001105301858294062,98,50,0.001979630143803726,0.2247728108030289,NS
WDR18,0.2246597174668361,5.225885949381828,5.001226231914992,2.3804478276001064,0.018625995350505485,98,50,0.027626739457635933,0.2246597174668361,NS
SPON2,0.22457530922438096,4.294702673406227,4.070127364181846,1.473046207605548,0.14292228390989054,98,50,0.18048237721083846,0.22457530922438096,NS
GLUD1P3,0.22455609266964283,2.4247544000733345,2.2001983074036917,2.0761113267505524,0.03977851152542884,98,50,0.05580418319089243,0.22455609266964283,NS
AC008429.2,0.2245239984475912,1.129177906212985,0.9046539077653938,2.6551603249189744,0.00905907421954775,98,50,0.01412370875951617,0.2245239984475912,NS
URI1,0.2244654368086243,5.354677798351584,5.130212361542959,3.284659748840723,0.0013137736526073935,98,50,0.0023264004815961117,0.2244654368086243,NS
AC018521.5,-0.22442134936490787,1.5959157400664359,1.8203370894313438,-2.8227137829462015,0.005532206849150901,98,50,0.008924081525120373,0.22442134936490787,NS
