gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
ZNF211,-0.13919973075262426,3.528393257001184,3.667592987753808,-1.3971933635182276,0.16506803279116342,100,50,0.21394421056106783,0.13919973075262426,NS
AC016405.1,0.13915073891468632,0.4200465505173285,0.28089581160264215,1.7864007058723084,0.07624329920312446,100,50,0.10710041749078565,0.13915073891468632,NS
RNU6-282P,-0.13914330028282995,0.9142485728708496,1.0533918731536795,-0.9970793780647208,0.32134388191903634,100,50,0.38308192809725417,0.13914330028282995,NS
AC024267.3,-0.13907877660065338,0.8646404434754769,1.0037192200761302,-1.4203719495461302,0.15873779860614387,100,50,0.20681031447705975,0.13907877660065338,NS
AP001107.4,-0.13902833632008416,1.5233609804855164,1.6623893168056005,-1.1429090945468203,0.255313837110442,100,50,0.31355429542488056,0.13902833632008416,NS
FBXL20,-0.13892942535096475,3.6386453376754173,3.777574763026382,-1.3602313279038056,0.17584018444788846,100,50,0.22637337036616018,0.13892942535096475,NS
AC026410.3,0.13892106535512783,1.2857443866569722,1.1468233213018444,2.4438506595768144,0.015838293939310674,100,50,0.025805120213009555,0.13892106535512783,NS
ANKLE2,0.13885904359749368,4.20932839876763,4.070469355170136,2.0868764016806165,0.03879391342275549,100,50,0.05829205098038817,0.13885904359749368,NS
RN7SL574P,0.13882373494277012,1.223807956613068,1.0849842216702978,1.3205670478780542,0.1891389281380265,100,50,0.24110953451829503,0.13882373494277012,NS
TMBIM4,0.1387769994394783,3.9868634851759257,3.8480864857364474,1.065158368881481,0.28881591352146824,100,50,0.3492295710776958,0.1387769994394783,NS
HAGLR,0.1387548039758677,2.6166418400431635,2.4778870360672958,0.9944886166446248,0.32165990533983746,100,50,0.3834027598196597,0.1387548039758677,NS
PANK4,0.1386715302396606,3.7356670452070473,3.5969955149673867,1.7305223850386457,0.08599329035491328,100,50,0.11921838699044314,0.1386715302396606,NS
FANCM,-0.13865721733991654,2.2399335897699966,2.378590807109913,-1.508314923410489,0.1345339008368454,100,50,0.17831015282977536,0.13865721733991654,NS
HECTD3,-0.13856575798169501,5.431354925712371,5.5699206836940665,-2.0516817967993646,0.042108545537266534,100,50,0.06280580268150043,0.13856575798169501,NS
ZNF891,-0.138532795398977,1.2781456591674427,1.4166784545664197,-1.6389230008550613,0.10396867555985315,100,50,0.14174379163982773,0.138532795398977,NS
ABI1,0.13850596861340758,6.099555345911149,5.9610493772977415,1.6067367668452357,0.11114903262380009,100,50,0.15060767192040417,0.13850596861340758,NS
SNORD53B,-0.13847779707527796,0.7784042904030731,0.9168820874783511,-0.841614940673579,0.4021998210919423,100,50,0.46626430221220355,0.13847779707527796,NS
PUS10,0.1384630865344212,2.5428768772946575,2.4044137907602363,1.720009461993783,0.08787931101762801,100,50,0.12159139135840873,0.1384630865344212,NS
UBE3C,0.13844323076205622,5.493431092681175,5.354987861919119,1.7188726460031651,0.0877614059136796,100,50,0.12147129098925585,0.13844323076205622,NS
EAF2,0.13843941783778524,2.9240603175270024,2.785620899689217,1.0408160663685666,0.29986320154779994,100,50,0.36077692804113487,0.13843941783778524,NS
AC006213.4,0.13839083372989158,2.218355263649852,2.0799644299199604,1.2499706811454763,0.21371716964245233,100,50,0.26827302465982045,0.13839083372989158,NS
CCDC14,-0.13838813241644088,3.8630554873307807,4.001443619747222,-0.983356934240946,0.3283308996165589,100,50,0.39010145888728603,0.13838813241644088,NS
RPL29,-0.13832226516842638,9.632827354872969,9.771149620041395,-1.2951609981795695,0.1979582639750763,100,50,0.25095961959626795,0.13832226516842638,NS
AP1G1,0.1382205374396701,5.490502214079028,5.3522816766393575,1.4625960812902454,0.14576672830611784,100,50,0.1915597889247973,0.1382205374396701,NS
RAPH1,-0.13818232503278005,1.7658106562917124,1.9039929813244925,-1.0353078275247445,0.30253907271699276,100,50,0.36361669680216147,0.13818232503278005,NS
RCN1,0.13815918047360842,5.2084478553206335,5.070288674847025,1.2305444996883708,0.22060122383051492,100,50,0.2756915262552617,0.13815918047360842,NS
ANAPC15,0.13815608774542598,2.4800490057883464,2.3418929180429204,2.0940896564166844,0.03800690757375017,100,50,0.057203706196440544,0.13815608774542598,NS
CD63,0.13811911838834057,9.578985257920367,9.440866139532027,1.480088302222723,0.1414677998752181,100,50,0.18663885738554042,0.13811911838834057,NS
GATB,-0.13810631055928368,2.7224911411722585,2.8605974517315422,-2.5741111748176384,0.011081919062476445,100,50,0.018629186771089667,0.13810631055928368,NS
ZNF98,-0.1380614532567257,1.045131250821575,1.1831927040783008,-1.1855538165716426,0.2378590936640702,100,50,0.2948438089239065,0.1380614532567257,NS
HUWE1,0.1380441687642957,6.2698817805381735,6.131837611773878,1.3637345686499944,0.1748752054525251,100,50,0.22527959736584363,0.1380441687642957,NS
