swi_snf_gene,prc2_gene,mean_prc2_swi_dep,mean_prc2_swi_nodep,delta,t_stat,p_value,n_dep,n_nodep,fdr
PBRM1,RBBP7,-0.10561169449110257,-0.09457255370712477,-0.011039140783977802,-0.8754764978253766,0.3815095338663512,271,810,0.588352052227626
ARID1B,EZH2,-0.08803525889105146,-0.07622985594211644,-0.01180540294893502,-0.8649160112338166,0.38727624958074647,272,814,0.5901352374563755
ARID1B,RBBP7,-0.10537015776578737,-0.09465336414238454,-0.010716793623402832,-0.8498948758794107,0.39557207271935513,271,810,0.5956850036244407
PBRM1,RBBP4,-1.339844828253508,-1.3235901261451697,-0.016254702108338348,-0.8037460144582014,0.4217198866422106,272,814,0.6276761103511972
ACTL6A,SUZ12,-0.3351613701536269,-0.34782473531229924,0.012663365158672335,0.7821062977555912,0.4343229061602564,272,814,0.6390038159599174
SMARCC2,JARID2,-0.047400544905066865,-0.053038175588132196,0.005637630683065331,0.7707820403584746,0.44100409552490005,272,814,0.6414605025816729
BCL7A,SUZ12,-0.35387151030476316,-0.34157269830847986,-0.012298811996283299,-0.7595788474317523,0.4476715167617562,272,814,0.6438421814101662
BRD7,RBBP4,-1.3386458073511667,-1.3239907817783847,-0.014655025572781977,-0.7246064272431808,0.4688498821915704,272,814,0.6661156011974845
SMARCC1,AEBP2,-0.018788670674866316,-0.02413736081731188,0.0053486901424455655,0.716938382383365,0.4735665602263366,272,814,0.6661156011974845
SMARCE1,AEBP2,-0.01928414123215087,-0.02397179817409149,0.004687656941940621,0.6282989544413676,0.5299404667986107,272,814,0.7373084755458932
ARID2,EED,-0.2589604312455571,-0.27081032360051405,0.011849892354956926,0.6171852794414436,0.5372421373396423,272,814,0.7394300384889702
SMARCC1,SUZ12,-0.35175551590036247,-0.3422797627777636,-0.009475753122598851,-0.5851624807317395,0.5585602546922154,272,814,0.7605926872404635
SMARCB1,EZH1,-0.08908987560636604,-0.0859505232797984,-0.003139352326567646,-0.5368962622855524,0.5914494485572419,272,814,0.7969003096350207
SMARCA4,AEBP2,-0.025696384825284545,-0.021829132010292525,-0.00386725281499202,-0.5183078950324815,0.6043492396002283,272,814,0.804957577667651
BRD9,RBBP4,-1.335396681240215,-1.3250764848523142,-0.010320196387900715,-0.5102118601309926,0.6100069143262667,272,814,0.804957577667651
SMARCA2,SUZ12,-0.35056382008275017,-0.3426779707168183,-0.00788584936593184,-0.4869564540923106,0.6263876376006643,272,814,0.8181389552335206
PBRM1,JARID2,-0.049214539018316635,-0.05243202522105119,0.003217486202734557,0.4398164060258609,0.660157755811287,272,814,0.8535373004428762
ACTL6A,JARID2,-0.049283714355568414,-0.052408910120642735,0.0031251957650743206,0.4271985482622118,0.669319557295334,272,814,0.8563768643599461
SMARCE1,RBBP4,-1.3340050136303312,-1.325541513832521,-0.008463499797810137,-0.4184036855529502,0.67573486953402,272,814,0.8563768643599461
BRD7,SUZ12,-0.33988023219480396,-0.3462479165466971,0.006367684351893166,0.39319378809239336,0.6942536719720502,272,814,0.8681838045303445
ARID2,RBBP4,-1.3217892085742067,-1.3296234536055753,0.007834245031368647,0.38729121272722944,0.6986166552080116,272,814,0.8681838045303445
BCL7A,AEBP2,-0.024569923971133535,-0.022205541534038312,-0.002364382437095223,-0.31686136451588987,0.7514098111641767,272,814,0.9248120752789868
ACTL6A,RBBP7,-0.09990544531346159,-0.09648168151840959,-0.003423763795051993,-0.2714398761026742,0.7861046584943517,271,810,0.9582990122597812
SMARCC1,JARID2,-0.05297508459096131,-0.051175430140265744,-0.001799654450695569,-0.24598987509543985,0.8057366386007537,272,814,0.9689090538711091
BRD9,JARID2,-0.05289807368215606,-0.05120116351519822,-0.0016969101669578393,-0.23194532013427083,0.8166242622039644,272,814,0.9689090538711091
PBRM1,EZH2,-0.07688792233858957,-0.07995476447070322,0.0030668421321136535,0.22461814957809106,0.8223186759248101,272,814,0.9689090538711091
SMARCC1,RBBP4,-1.3310131491288324,-1.3265412523391646,-0.004471896789667751,-0.22106093789109169,0.8250866161871163,272,814,0.9689090538711091
SMARCA4,JARID2,-0.05057150222284162,-0.05197859279890034,0.0014070905760587213,0.1923292996446975,0.8475202926073977,272,814,0.9758012969059565
SMARCA2,RBBP7,-0.09556094356397231,-0.09793521235064613,0.002374268786673822,0.18823138565913028,0.8507306637489139,271,810,0.9758012969059565
ACTL6A,RBBP4,-1.33023979194757,-1.326799671446417,-0.0034401205011529434,-0.17005519198244398,0.8649984633065764,272,814,0.9758012969059565
BRD9,AEBP2,-0.02184916651745144,-0.02311468898784855,0.0012655224703971117,0.1695926686889546,0.8653621314424303,272,814,0.9758012969059565
BCL7A,JARID2,-0.052530296794350326,-0.051324057020705784,-0.001206239773644542,-0.16487510146037868,0.8690730300568675,272,814,0.9758012969059565
ARID2,AEBP2,-0.02201566032865438,-0.023059054692213168,0.0010433943635587868,0.13982468663278544,0.8888244822963505,272,814,0.9773623639889119
ARID1A,EZH1,-0.08614372806878277,-0.086934985356239,0.000791257287456229,0.13530504051862383,0.8923958198474431,272,814,0.9773623639889119
ARID2,EZH1,-0.08616452034489583,-0.08692803756864348,0.0007635172237476506,0.13056141212001768,0.8961464944803135,272,814,0.9773623639889119
SMARCA2,JARID2,-0.05230845625994675,-0.05139818555308634,-0.0009102707068604082,-0.12441984443397128,0.9010059293022781,272,814,0.9773623639889119
PBRM1,EED,-0.26647981863591,-0.26829770275263204,0.0018178841167220128,0.09466574391110019,0.9245978234605481,272,814,0.9853975136995847
ARID2,SUZ12,-0.34356265060810154,-0.34501742783856826,0.0014547772304667195,0.08982397385296689,0.9284436900327994,272,814,0.9853975136995847
ARID2,RBBP7,-0.09652747675885803,-0.09761184136815967,0.0010843646093016412,0.08596701518824333,0.9315085871691386,271,810,0.9853975136995847
BRD7,AEBP2,-0.02320099654929711,-0.02266297182733009,-0.000538024721967019,-0.07209991040222789,0.9425356977301135,272,814,0.9887307728221211
DPF2,JARID2,-0.051282971461079865,-0.05174085369226544,0.00045788223118557736,0.0625850438663668,0.9501084770087569,272,814,0.9887307728221211
ARID1A,JARID2,-0.05139981478366707,-0.05170181022329282,0.0003019954396257518,0.041277816120055426,0.967082019444899,272,814,0.9942401934041599
PBRM1,EZH1,-0.08685171775290024,-0.08669840895073536,-0.00015330880216488096,-0.026215600702206916,0.9790901977343036,272,814,0.9942401934041599
ARID2,EZH2,-0.07940591907979364,-0.07911336998224192,-0.00029254909755171976,-0.021426052876365374,0.9829097342860351,272,814,0.9942401934041599
DPF2,EED,-0.267720952085432,-0.26788297511347975,0.00016202302804774193,0.00843726365328584,0.993269669916964,272,814,0.9942401934041599
DPF2,SUZ12,-0.34474071783548926,-0.3446237739247483,-0.00011694391074096311,-0.007220574889990399,0.9942401934041599,272,814,0.9942401934041599
