gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
MAPKBP1,0.12471467359167043,2.6250567044319384,2.500342030840268,0.654759381873189,0.5305757919784434,0.9999124392578936,0.12471467359167043,NS
AL596244.1,-0.12470574917989463,2.0096510511334182,2.134356800313313,-0.5331576451914412,0.6057259042255349,0.9999124392578936,0.12470574917989463,NS
AMN1,-0.12465073312923591,2.3547282696771603,2.4793790028063962,-0.4884089903683303,0.6491353558980557,0.9999124392578936,0.12465073312923591,NS
TMEM156,-0.12455754852919587,1.057024536963858,1.1815820854930539,-0.27012936547970634,0.7932463777952333,0.9999124392578936,0.12455754852919587,NS
RELT,0.12448267864499929,1.3445861888555526,1.2201035102105533,0.22038479717795317,0.8306741633123289,0.9999124392578936,0.12448267864499929,NS
FAM83G,-0.12447562795671008,2.231884630638355,2.356360258595065,-0.23018565927528375,0.82702851473849,0.9999124392578936,0.12447562795671008,NS
INTS9,-0.12445944583809432,3.5711832874307063,3.6956427332688007,-0.5801822710413339,0.5799944622088162,0.9999124392578936,0.12445944583809432,NS
AC018926.3,-0.12440513344048054,1.4672008769898237,1.5916060104303043,-1.2542635420165105,0.23916156204331634,0.9999124392578936,0.12440513344048054,NS
EPB41L1,-0.12438365781749194,5.882024271202222,6.006407929019714,-0.5378533680373437,0.6030412350392063,0.9999124392578936,0.12438365781749194,NS
AC027796.4,-0.12434693900587057,0.663349283276074,0.7876962222819446,-0.3251090208808174,0.756031865239481,0.9999124392578936,0.12434693900587057,NS
CAPZB,-0.12433957752221758,4.849279447367136,4.973619024889354,-0.42255574165733256,0.6817178674397406,0.9999124392578936,0.12433957752221758,NS
AC024580.1,-0.12432252595103,0.7804640953641702,0.9047866213152002,-0.5120465936134599,0.6288465949559581,0.9999124392578936,0.12432252595103,NS
ANKRD10,-0.12431608578398379,5.0921929835912385,5.216509069375222,-0.29967741935923137,0.7722096187807928,0.9999124392578936,0.12431608578398379,NS
TRMT11,-0.12425831593075554,2.6444876855296746,2.76874600146043,-0.7207113626108913,0.4913743219483564,0.9999124392578936,0.12425831593075554,NS
AC103563.7,0.12425460359388651,2.6518213572764227,2.527566753682536,0.1188477312152388,0.9090414564063682,0.9999124392578936,0.12425460359388651,NS
SNRPN,-0.12425268980366555,2.426002399043554,2.5502550888472197,-0.27568417287312086,0.7948275882682967,0.9999124392578936,0.12425268980366555,NS
C1RL-AS1,-0.12423167767484378,2.070910825343426,2.19514250301827,-0.17516082164274904,0.8665972776524524,0.9999124392578936,0.12423167767484378,NS
MINDY1,0.1241781311208392,5.48546450137668,5.361286370255841,0.3237407888755581,0.7565178705620368,0.9999124392578936,0.1241781311208392,NS
TATDN3,-0.12416397667754886,4.070761369758272,4.194925346435821,-0.5543405941878862,0.5957418098069849,0.9999124392578936,0.12416397667754886,NS
SEC24A,-0.12415338339401938,4.151298297970837,4.275451681364856,-0.3513488230048242,0.7366768512598044,0.9999124392578936,0.12415338339401938,NS
CEP70,0.12412501597790193,4.037163787614952,3.9130387716370505,0.23443375113233617,0.8234673159740796,0.9999124392578936,0.12412501597790193,NS
SH3D21,-0.1240925812611644,1.9094287892041903,2.0335213704653547,-0.3063007497346872,0.7669056116145203,0.9999124392578936,0.1240925812611644,NS
USP32,-0.12408325072247006,4.028483098918243,4.152566349640713,-0.4893105944572645,0.6351783464554734,0.9999124392578936,0.12408325072247006,NS
RAD1,-0.12403471626404272,3.358453416536065,3.482488132800108,-0.7200776735168606,0.4888591297321154,0.9999124392578936,0.12403471626404272,NS
AL158801.4,-0.12399682276061941,1.4369979360927303,1.5609947588533497,-0.6202132596583788,0.5563809351892557,0.9999124392578936,0.12399682276061941,NS
KIF12,-0.12393858473015484,6.043392034857033,6.1673306195871875,-0.22613579774292694,0.8266052900376255,0.9999124392578936,0.12393858473015484,NS
RBM8A,-0.12393061580451992,4.840364650694926,4.9642952664994455,-0.5099296056135303,0.621949093437247,0.9999124392578936,0.12393061580451992,NS
EXTL2,-0.12392661332012223,3.9477448333397835,4.071671446659906,-0.5115811324523309,0.6207124135136204,0.9999124392578936,0.12392661332012223,NS
SMC3,-0.1239216282972393,4.926614290147838,5.050535918445077,-0.40043972894935076,0.6987048377454628,0.9999124392578936,0.1239216282972393,NS
