gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
NCOA4,0.3358397151167152,7.755260607893939,7.419420892777223,1.546445107029331,0.15125706813260553,0.5798842831676444,0.3358397151167152,NS
ECI1,-0.33579114278823585,5.2397277962216275,5.575518939009863,-1.4373156170079766,0.1734187399140227,0.5940849714926995,0.33579114278823585,NS
BTAF1,0.33574859690106074,4.180003810965546,3.8442552140644857,1.3084184510051045,0.21098366261978174,0.6210290258698612,0.33574859690106074,NS
GPR162,0.33574488167588523,2.823638675789771,2.487893794113886,0.5495316558437735,0.5909166183077368,0.8428392470788061,0.33574488167588523,NS
RNF2,-0.33566324532938374,4.319558446472566,4.65522169180195,-0.9042308901968692,0.3888591360735709,0.7430085168975052,0.33566324532938374,NS
TMEM241,-0.33566205143517847,3.4303086633580704,3.765970714793249,-1.055967017127578,0.3161725625821669,0.6963547207440928,0.33566205143517847,NS
RBM12,-0.3355655017790662,5.124744463408468,5.460309965187534,-1.7839903407223356,0.0966666679109398,0.5542773548174784,0.3355655017790662,NS
AC025171.2,0.33554043025144353,1.9303103116234976,1.594769881372054,1.1354038254201744,0.2742681914926054,0.6659168862213427,0.33554043025144353,NS
PRDM2,0.3354472829904367,4.42243368022789,4.086986397237453,1.6543643995024457,0.11884226717362942,0.5629016221543334,0.3354472829904367,NS
AC108673.3,0.33525724743477436,3.1658066725532783,2.830549425118504,0.6877992950596179,0.5021557272502084,0.8010808709450199,0.33525724743477436,NS
C1GALT1C1L,-0.3352426024963213,1.1264220413635693,1.4616646438598906,-0.7334239563036984,0.4834621394419488,0.7921369667511393,0.3352426024963213,NS
PRKAR1B-AS1,-0.3352167689135239,2.125373631069075,2.460590399982599,-0.7370363027526575,0.4748696313600027,0.7882824016086639,0.3352167689135239,NS
SF3B2,-0.33516505822300324,6.244925240259833,6.580090298482836,-2.4739446981072057,0.027350830235967637,0.5513093049406389,0.33516505822300324,NS
GBP3,0.3351469101146316,5.220459805606061,4.885312895491429,0.724611640789103,0.48008927856949035,0.7908528998111811,0.3351469101146316,NS
MIR4701,-0.33510460719411994,1.180140309383688,1.515244916577808,-0.6976046624356455,0.49792452593123493,0.7991251957978083,0.33510460719411994,NS
ID2,0.3350620247309095,6.221622920382917,5.886560895652008,0.5962854771624627,0.5607367684749913,0.8288723608893226,0.3350620247309095,NS
PDPN,0.3349136420441896,5.069022366111877,4.734108724067688,0.4558440961118347,0.6552036453353415,0.8707369822566393,0.3349136420441896,NS
AGR2,0.3348882366044377,7.8869216886145255,7.552033452010088,0.3771873277117945,0.7116273745683452,0.8951105785817428,0.3348882366044377,NS
RPS15AP10,-0.33486458762183713,0.9452925321387432,1.2801571197605803,-1.2318232314581898,0.24083679236684571,0.6425364211671822,0.33486458762183713,NS
ZNF551,-0.3347859260786836,2.3853874387266196,2.7201733648053033,-0.9480947434495891,0.37078233011195966,0.7309579083496124,0.3347859260786836,NS
IL18,0.3347543242024331,4.937017790345832,4.602263466143399,0.7126031465999795,0.4883041080200081,0.7941517367514707,0.3347543242024331,NS
CSTF1,-0.3347241497849769,4.375808171707538,4.710532321492515,-1.6039742602702485,0.14196885761509007,0.5761688390724247,0.3347241497849769,NS
PTPN12,-0.3347191398131866,6.1535604758876925,6.488279615700879,-1.4439734292948219,0.1693129015195783,0.5911365918918258,0.3347191398131866,NS
AC119150.1,0.33465372610876176,1.2256183356086539,0.8909646094998921,0.8275477713667904,0.4217777282388374,0.760393459368694,0.33465372610876176,NS
AC007038.1,0.3346440081185045,1.545214097387423,1.2105700892689186,1.0364186486678553,0.32018188347556004,0.6983587010847355,0.3346440081185045,NS
H19,-0.334495461771982,2.5134481917004905,2.8479436534724725,-0.33049494255947415,0.7482437299669463,0.9074946724265278,0.334495461771982,NS
AL589880.1,0.3343982095822695,3.138420871083247,2.8040226615009773,0.6813155860133457,0.5101155921515054,0.8054432782914605,0.3343982095822695,NS
RNF41,-0.3343738327978585,4.886386709099565,5.220760541897423,-1.4789618979274668,0.1657219622780006,0.5881209913143506,0.3343738327978585,NS
UTP11,-0.33435585520320643,4.675518223219141,5.009874078422348,-1.3079828948898458,0.22147117568514488,0.6301642473022748,0.33435585520320643,NS
SCLT1,-0.33428396629144785,1.7747742373454392,2.109058203636887,-1.5816464117093303,0.13741687404511937,0.5715806144229941,0.33428396629144785,NS
FGD1,-0.33426769158794656,1.681465658226645,2.0157333498145915,-0.8457217889913186,0.42093910920316746,0.7596548362642449,0.33426769158794656,NS
LINC01679,-0.3342171912827001,1.5286201142503515,1.8628373055330516,-0.9772061587415533,0.3440958497698733,0.7141178339904178,0.3342171912827001,NS
PRR16,-0.3341476943447723,1.7152933034147424,2.0494409977595147,-0.7774403316092069,0.45504464753067964,0.7752609125703837,0.3341476943447723,NS
SLFN13,-0.33413525839570557,2.7012355556154093,3.035370814011115,-0.7030584531461938,0.49432011392270947,0.7972216169332874,0.33413525839570557,NS
ZNF502,0.33413029901249125,2.7696447826800394,2.435514483667548,0.7617901888110707,0.4669881644166155,0.7829601543543052,0.33413029901249125,NS
AC090498.1,0.33411283876452025,8.817561681908762,8.483448843144242,0.39850568750275256,0.7016737525880442,0.8910406418646913,0.33411283876452025,NS
MRGPRF,0.33406918593282775,2.8731278697045877,2.53905868377176,0.5862674039744459,0.5666532232734035,0.8316125477783188,0.33406918593282775,NS
ACACA,0.3340577696980276,4.973045074909793,4.638987305211765,1.4820728621168964,0.16349963733386302,0.5878936430864709,0.3340577696980276,NS
POM121,-0.3340477484823259,3.5481136209129107,3.8821613693952366,-1.4534701793766678,0.17484552251585905,0.596434716733124,0.3340477484823259,NS
CDK14,0.3340199805955373,4.210726839129619,3.876706858534082,0.7427695864897567,0.4791044698590706,0.790521322523079,0.3340199805955373,NS
MROH8,0.3339959200740368,1.2485521153334531,0.9145561952594163,1.4285600419040292,0.173677608004163,0.5946267379396347,0.3339959200740368,NS
DNHD1,0.3339222044731529,1.5874763829995724,1.2535541785264195,1.1798295057303652,0.25653999535724903,0.6534714762088958,0.3339222044731529,NS
AKAP8L,-0.3339088891883413,3.8653417068558187,4.19925059604416,-1.4218168054366875,0.17598314863442677,0.597979898149146,0.3339088891883413,NS
ZNNT1,0.3338766198409455,2.293722118458242,1.9598454986172966,1.272899823403426,0.2232582638935351,0.6310945667833788,0.3338766198409455,NS
GIGYF2,0.3337774860586977,4.262073818617037,3.9282963325583395,1.4035153724569056,0.1812631322619628,0.6008529394902259,0.3337774860586977,NS
CCNQ,-0.3337004213932149,4.913402104480993,5.247102525874208,-1.6101021683766361,0.13701792678430677,0.5714551288071134,0.3337004213932149,NS
NOTCH3,-0.33367667375654886,5.698440184144411,6.032116857900959,-0.8863178689601862,0.3911296965859685,0.7445022823954223,0.33367667375654886,NS
MIR3936HG,0.3336614111256275,1.6627112315994248,1.3290498204737973,1.2884198183434825,0.21828181697383717,0.6276975581139195,0.3336614111256275,NS
ZBTB32,-0.33355148610134555,0.6119958258594382,0.9455473119607838,-1.969185612424646,0.0686781194962297,0.5513093049406389,0.33355148610134555,NS
SNHG12,-0.3335117244382113,2.4744076119559146,2.807919336394126,-0.9544804759309077,0.3572952611272995,0.7217217575074819,0.3335117244382113,NS
TRIM5,0.333451304581724,4.246943834679541,3.9134925300978174,0.9986964124742861,0.34311708815466113,0.7134830608193264,0.333451304581724,NS
C17orf97,0.33345083990640223,2.4824093525771187,2.1489585126707165,0.8575769962686053,0.40641459942782177,0.7520822452352728,0.33345083990640223,NS
MARVELD2,0.333395632551456,4.898817157575671,4.565421525024215,1.147647904162124,0.26997556967232805,0.6627134769766763,0.333395632551456,NS
POLR2F,-0.33328819119362585,3.661381257793928,3.994669448987554,-1.5899447980399792,0.1441446439360113,0.5773283104366116,0.33328819119362585,NS
MLF1,-0.3332838648367549,4.267922984199227,4.601206849035982,-0.6214359355723466,0.5443793626431345,0.8220926749465003,0.3332838648367549,NS
ITGB1,-0.33327398095168714,6.442845149630995,6.776119130582682,-0.9204780232545111,0.3787258364312127,0.7358429828386991,0.33327398095168714,NS
PURB,-0.3332268903421376,4.5991783891774745,4.932405279519612,-1.0766290554631945,0.30358450771211043,0.6880903173972045,0.3332268903421376,NS
PIK3R3,-0.33315955528098673,4.341754895389592,4.674914450670578,-0.5804907828813068,0.5760605739003365,0.8358813315557473,0.33315955528098673,NS
AP003469.2,-0.33309710154269156,0.6416079244787438,0.9747050260214354,-1.1040613273462938,0.2897269936188057,0.6784233913024444,0.33309710154269156,NS
GATAD2A,-0.33309337083745216,5.156673624418958,5.48976699525641,-1.3114062820440497,0.21701876307369924,0.6263002843362034,0.33309337083745216,NS
MARK3,-0.3330799461361744,3.6198483376156023,3.9529282837517767,-1.1885331031108937,0.25563109364636155,0.6529949415042673,0.3330799461361744,NS
ARSD,0.3329884310502873,5.6927616246707355,5.359773193620448,0.8030647152636212,0.43531356122349296,0.7665703241830235,0.3329884310502873,NS
WASL-DT,0.3329878206824599,3.4134852699028313,3.0804974492203714,1.0385158433074133,0.3226491297186448,0.7004935231106981,0.3329878206824599,NS
IFT27,0.3329680463714624,2.939342073195494,2.6063740268240316,0.9557229777825819,0.3559989068689914,0.7215781643128563,0.3329680463714624,NS
RSL24D1P6,0.33293672807495134,1.3902518443498986,1.0573151162749472,1.74926279765602,0.10067749896429036,0.5547856106434252,0.33293672807495134,NS
NCR3,0.3328818124879158,1.6309743662608882,1.2980925537729724,0.9273468081468386,0.3715486442489312,0.7310092531474334,0.3328818124879158,NS
TMEM17,0.3328638410153637,2.5102520892994207,2.177388248284057,1.0470924180152053,0.31956296718006466,0.6983587010847355,0.3328638410153637,NS
MTLN,0.33280285155335676,4.260371576586558,3.9275687250332014,0.8389516354450427,0.4203558134107249,0.7596083880540098,0.33280285155335676,NS
GPSM1,0.3326917423760838,4.053796816176694,3.7211050738006106,0.8596250482277465,0.40501641349842665,0.751440344983685,0.3326917423760838,NS
NRIP1,-0.33269040285053375,3.7721272792197027,4.1048176820702365,-0.9755880753875418,0.3456620997359572,0.7155216766484296,0.33269040285053375,NS
DNAJB2,0.3326431174867137,6.001191139246071,5.668548021759357,1.5161866594049458,0.1509073889437189,0.5798842831676444,0.3326431174867137,NS
ELMOD3,0.3326079819659351,3.1375772301069276,2.8049692481409925,1.9213401305056614,0.07664559179793694,0.5513093049406389,0.3326079819659351,NS
TOR4A,0.3325712193593837,5.185143589008803,4.852572369649419,0.7792148520429757,0.4537201477354226,0.7747625854745536,0.3325712193593837,NS
ZFYVE28,0.3325669202423098,2.4129955453012055,2.0804286250588957,1.349437091683548,0.20011775374361088,0.6128995903905413,0.3325669202423098,NS
DANCR,-0.332535478846256,2.225162213091405,2.557697691937661,-1.0710423757794703,0.3068596576998976,0.6913613277601941,0.332535478846256,NS
ATP6AP1L,-0.3324778516246665,1.5018855184411575,1.834363370065824,-1.6416496783366659,0.12286957825017436,0.565948656605009,0.3324778516246665,NS
ZPR1,-0.3324353693330888,4.322421103080007,4.654856472413096,-1.3956810842455485,0.19675463170803933,0.6111441868209527,0.3324353693330888,NS
MED7,0.3324004769345259,3.91717664338771,3.5847761664531843,2.220457296087635,0.047543859099168306,0.5513093049406389,0.3324004769345259,NS
