gene,sl_n_drivers,sl_drivers,deg_cancers_up,deg_cancers_down,deg_max_log2fc,deg_min_fdr,n_approved_drugs,n_total_drugs,is_druggable,top_drugs,dep_auc,n_dependent_lines,sl_max_lineages,sl_is_universal,composite_score
IGKV2D-28,0,,1,1,1.3804379381522716,2.840721405443023e-09,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV5-10-1,0,,1,1,2.3009399345713253,8.024946110303247e-07,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV2D-29,0,,1,1,1.8198211476664012,5.7249049334295196e-08,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV3-72,0,,1,1,1.725298833661347,3.091230128744082e-06,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV3-74,0,,1,1,1.6669650658730335,6.04845620030438e-08,0,0,False,,0.5,0,0,False,0.13333333333333333
CDCA5,0,,2,0,2.3730923532939268,6.4796072440676e-30,0,0,False,,0.5,0,0,False,0.13333333333333333
HSD17B13,0,,0,2,2.494573897501229,3.031850388343213e-16,0,0,False,,0.5,0,0,False,0.13333333333333333
CCND2,0,,0,2,1.5722835119538503,1.2960949968278668e-24,0,0,False,,0.5,0,0,False,0.13333333333333333
CCNE1,0,,2,0,2.039963669225122,2.706832296312199e-28,0,0,False,,0.5,0,0,False,0.13333333333333333
CDCA3,0,,2,0,2.050716029794717,5.735899413812695e-30,0,0,False,,0.5,0,0,False,0.13333333333333333
CDCA2,0,,2,0,1.711479475589372,1.2793394584414548e-26,0,0,False,,0.5,0,0,False,0.13333333333333333
CDC25C,0,,2,0,1.949623833207771,8.42070732263917e-33,0,0,False,,0.5,0,0,False,0.13333333333333333
CCNF,0,,2,0,1.5812911477691567,2.0939727708844467e-28,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV1-9,0,,1,1,2.0056591882667627,7.159640225293503e-10,0,0,False,,0.5,0,0,False,0.13333333333333333
CDC45,0,,2,0,2.133040736723455,1.4650450031319306e-31,0,0,False,,0.5,0,0,False,0.13333333333333333
CDC6,0,,2,0,2.3694150948128323,1.405412209597942e-33,0,0,False,,0.5,0,0,False,0.13333333333333333
CCT3,0,,2,0,1.298949446585211,9.907686060341919e-33,0,0,False,,0.5,0,0,False,0.13333333333333333
CDC20,0,,2,0,3.168711514262665,4.3117837763892275e-39,0,0,False,,0.5,0,0,False,0.13333333333333333
HSD11B1,0,,0,2,2.169793697774359,2.5077842851676232e-11,0,0,False,,0.5,0,0,False,0.13333333333333333
CCNB1,0,,2,0,2.5008371997390646,8.192777721898361e-35,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV2D-24,0,,1,1,1.214414688516296,9.686326935545106e-07,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV2-30,0,,1,1,1.3477662822079075,3.63031008650412e-06,0,0,False,,0.5,0,0,False,0.13333333333333333
CDC25A,0,,2,0,1.3555663752901137,1.0165834585044064e-21,0,0,False,,0.5,0,0,False,0.13333333333333333
CDO1,0,,0,2,3.1182891170318414,1.1026738993366244e-34,0,0,False,,0.5,0,0,False,0.13333333333333333
ID4,0,,0,2,2.779479148471151,9.938355975631341e-29,0,0,False,,0.5,0,0,False,0.13333333333333333
IGFALS,0,,1,1,1.3174415703824325,1.388519345487833e-13,0,0,False,,0.5,0,0,False,0.13333333333333333
HYAL1,0,,0,2,2.5761211884010784,3.8702047776358086e-29,0,0,False,,0.5,0,0,False,0.13333333333333333
CDT1,0,,2,0,2.2376337914340025,3.6501730843662157e-29,0,0,False,,0.5,0,0,False,0.13333333333333333
CDKN3,0,,2,0,2.1474226092690536,1.6422532652275061e-31,0,0,False,,0.5,0,0,False,0.13333333333333333
IER5L,0,,2,0,1.4047097279764835,1.0723976001475444e-17,0,0,False,,0.5,0,0,False,0.13333333333333333
HSPB8,0,,0,2,2.2507579839180085,8.852392848199311e-31,0,0,False,,0.5,0,0,False,0.13333333333333333
CD93,0,,0,2,2.3127218793201383,2.3419019613203037e-29,0,0,False,,0.5,0,0,False,0.13333333333333333
CD34,0,,0,2,2.029889409545474,1.2905188703447927e-27,0,0,False,,0.5,0,0,False,0.13333333333333333
CD36,0,,0,2,4.417469169138695,1.1509181078188609e-45,0,0,False,,0.5,0,0,False,0.13333333333333333
HSPB7,0,,0,2,3.781867457919704,5.320670171128038e-23,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV3-49,0,,1,1,1.925391752665318,3.876455364240526e-08,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHG4,0,,2,0,3.114748296899867,9.109785104270295e-20,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHGP,0,,2,0,2.5948706609495087,3.238165507205777e-13,0,0,False,,0.5,0,0,False,0.13333333333333333
HSPB6,0,,0,2,3.824465404254427,2.474240257248665e-31,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHJ2,0,,1,1,1.826081872399892,2.899416292247152e-09,0,0,False,,0.5,0,0,False,0.13333333333333333
IGFBP6,0,,0,2,3.124400755385828,1.889497351604323e-30,0,0,False,,0.5,0,0,False,0.13333333333333333
IGFBPL1,0,,2,0,1.2437854007000684,4.4946521502699253e-14,0,0,False,,0.5,0,0,False,0.13333333333333333
