gene_a,gene_b,codependency_corr,codependency_pval,co_essential_jaccard,both_essential_count,conditional_effect,n_cell_lines
CTNNB1,CDC42,-0.1697002530689428,1.8357457515816466e-08,0.08908045977011494,93,0.2233474133959492,1086
CTNNB1,TXNRD1,-0.20502592702341974,9.019615695824734e-12,0.055846422338568937,32,0.19853565953574798,1086
CTNNB1,EEFSEC,-0.20603093267672906,7.105876578915125e-12,0.04222972972972973,25,0.19139804325868554,1086
FBXW7,RABGGTB,-0.08344042262662163,0.005934638453158101,0.0186219739292365,20,0.37875118770307026,1086
FBXW7,TTK,-0.0857655767219584,0.00467929046692828,0.011918951132300357,10,0.34634192906446937,1086
FBXW7,NGDN,-0.10052090527723734,0.0009092195762873007,0.010192525481313703,9,0.3432196844710139,1086
FBXW7,POLR1B,-0.08321779565213838,0.006069470566357109,0.01855287569573284,20,0.3328734718366553,1086
FBXW7,MOB4,-0.12479551511382926,3.723961001989236e-05,0.012658227848101266,13,0.30799543658329476,1086
FBXW7,POLR3F,-0.043372407210572776,0.15319323464096096,0.01935483870967742,21,0.3112096663880253,1086
FBXW7,SEC61A1,-0.12083972873390664,6.54448381121143e-05,0.01935483870967742,21,0.29490128216541045,1086
FBXW7,ATP6V1C1,-0.06851301111209751,0.02395399574700822,0.012956419316843345,11,0.29440398702729875,1086
FBXW7,UTP6,-0.06951957387818371,0.02195660253657534,0.01532567049808429,16,0.29081207892555117,1086
FBXW7,DDX54,-0.14212084510770645,2.576050416315194e-06,0.019337016574585635,21,0.2802521648376479,1086
FBXW7,ERCC3,-0.07826112109424338,0.009878742139194268,0.016791044776119403,18,0.2840774881301086,1086
FBXW7,PREB,-0.0707196163626762,0.019765734418559274,0.0196078431372549,21,0.28069346680862917,1086
FBXW7,RFC4,-0.08852493358096168,0.0035040195351025132,0.01674418604651163,18,0.27403997546303027,1086
FBXW7,UTP25,-0.11410900807487233,0.0001643031126899367,0.010546500479386385,11,0.2705847064344963,1086
FBXW7,UTP14A,-0.09008108143540235,0.003033344955505459,0.00463678516228748,3,0.2393930591010237,1081
FBXW7,FOSL1,-0.1384477299123913,4.665507558456716e-06,0.0,0,0.22179556419851576,1086
FBXW7,PDCL3,-0.08539450135109981,0.004861982029911075,0.004573170731707317,3,0.22516140163263682,1086
FBXW7,UBIAD1,-0.12894093208247884,2.0251885652811952e-05,0.0030120481927710845,1,0.21679828041549912,1086
FBXW7,PGGT1B,-0.10551716002986862,0.0004958479100028226,0.00404040404040404,2,0.2098422913381136,1086
FBXW7,PKM,-0.10135824601468026,0.0008228767416602853,0.017543859649122806,17,0.2044990761077642,1086
FBXW7,PGAM1,-0.11406370909669675,0.0001652968837878312,0.018691588785046728,20,0.19683080361673333,1086
